id,label,number_corners,length_width_ratio
652,Acer,93,1.005235602
641,Acer,74,1.086567164
651,Acer,76,1.123376623
1520,Acer,92,1.153129161
404,Acer,72,1.105654762
570,Acer,75,1.012064343
763,Acer,65,1.084063047
506,Acer,63,1.011673152
864,Acer,63,1.16194332
1182,Acer,49,1.0625
167,Acer,60,1.026272578
253,Acer,59,1.040935673
1003,Acer,44,1.029574861
78,Acer,66,1.191208791
365,Acer,57,1.041666667
1184,Acer,44,1.273607748
186,Alnus,35,1.414225941
1435,Alnus,12,1.422604423
505,Alnus,18,1.351851852
629,Alnus,22,1.308390023
198,Alnus,17,1.461711712
839,Alnus,26,1.363106796
1235,Alnus,15,1.428270042
1477,Alnus,34,1.361616162
647,Alnus,27,1.423423423
1242,Alnus,22,1.437379576
877,Alnus,50,1.463157895
1287,Alnus,61,1.545454545
140,Alnus,69,1.5
893,Alnus,67,1.627118644
1217,Alnus,79,1.766961652
805,Alnus,65,1.597765363
663,Alnus,51,1.64265928
1232,Alnus,54,1.524193548
983,Alnus,63,1.543478261
1581,Alnus,73,1.411609499
493,Alnus,40,1.456
1021,Alnus,23,1.284
1258,Alnus,23,1.501176471
868,Alnus,46,1.493478261
290,Alnus,29,1.330039526
55,Alnus,33,1.455723542
314,Alnus,44,1.696145125
1118,Alnus,25,1.383429672
954,Alnus,25,1.290909091
475,Alnus,26,1.5
788,Alnus,55,1.951219512
971,Alnus,46,2.160714286
1396,Alnus,52,1.922746781
1096,Alnus,45,2.19895288
1302,Alnus,43,2.102484472
738,Alnus,39,2.107692308
34,Alnus,54,1.952914798
1004,Alnus,53,1.98089172
376,Alnus,62,2.194647202
371,Alnus,63,2.095454545
1124,Alnus,54,1.19266055
1566,Alnus,76,1.252873563
717,Alnus,69,1.107238606
646,Alnus,50,1.21
357,Alnus,46,1.211038961
1255,Alnus,42,1.321428571
374,Alnus,77,1.219047619
1550,Alnus,76,1.310541311
334,Alnus,72,1.276162791
394,Alnus,66,1.341954023
196,Arundinaria,1,12.79674797
1488,Arundinaria,2,7.807453416
464,Arundinaria,3,7.86163522
1039,Arundinaria,1,12.24409449
1034,Arundinaria,2,10.62773723
412,Arundinaria,1,8.590909091
37,Arundinaria,2,11.21212121
423,Arundinaria,1,6.813953488
199,Arundinaria,1,8.139240506
454,Arundinaria,1,9.231292517
488,Betula,82,1.983014862
286,Betula,79,1.87184874
18,Betula,49,1.838709677
175,Betula,68,1.754455446
747,Betula,68,2.083732057
1097,Betula,69,1.885650224
672,Betula,66,1.913580247
758,Betula,67,1.941883768
443,Betula,74,1.87063655
341,Betula,64,2.015384615
1393,Betula,27,1.609756098
339,Betula,22,1.451282051
461,Betula,17,1.349056604
621,Betula,15,1.467248908
1213,Betula,28,1.197478992
1013,Betula,24,1.31512605
1052,Betula,20,1.407407407
1473,Betula,18,1.28959276
415,Betula,16,1.393364929
615,Betula,22,1.361111111
992,Callicarpa,10,2.848275862
558,Callicarpa,3,2.455782313
143,Callicarpa,22,3.3671875
73,Callicarpa,16,3.37944664
765,Callicarpa,3,2.792114695
1119,Callicarpa,3,2.7
1367,Callicarpa,2,3.200757576
1179,Callicarpa,4,2.815884477
380,Callicarpa,3,3.393822394
969,Callicarpa,6,3.037453184
1087,Castanea,12,2.073170732
1296,Castanea,25,2.329741379
1153,Castanea,33,2.357142857
1511,Castanea,25,2.281632653
425,Castanea,22,2.650900901
1229,Castanea,14,2.243902439
1273,Castanea,33,2.401544402
926,Castanea,12,2.193258427
769,Castanea,19,2.901176471
592,Castanea,23,2.225321888
153,Celtis,38,1.75074184
169,Celtis,25,1.820895522
249,Celtis,37,1.625
100,Celtis,34,1.72
1425,Celtis,31,1.811046512
1175,Celtis,32,1.675516224
566,Celtis,36,1.729651163
1277,Celtis,30,1.8
61,Celtis,41,1.679300292
115,Celtis,42,1.448467967
58,Cercis,2,1.136597938
582,Cercis,1,1.189839572
242,Cercis,3,1.05955335
551,Cercis,1,1.148541114
398,Cercis,2,1.124031008
427,Cercis,3,1.029484029
1094,Cercis,4,1.109414758
914,Cercis,3,1.177419355
1471,Cercis,3,1.125641026
88,Cercis,3,1.121447028
513,Cornus,2,2.12254902
450,Cornus,2,2.26056338
800,Cornus,1,2.30071599
42,Cornus,3,2.052516411
1461,Cornus,3,1.690566038
745,Cornus,4,2.002164502
1405,Cornus,5,2.289473684
662,Cornus,2,2.299212598
737,Cornus,4,1.822894168
1256,Cornus,3,2.07112069
881,Cornus,2,1.597733711
1398,Cornus,2,1.593220339
71,Cornus,2,1.486263736
1527,Cornus,2,1.533898305
273,Cornus,2,1.450819672
614,Cornus,1,1.684210526
757,Cornus,2,1.78041543
1169,Cornus,2,1.744868035
932,Cornus,2,1.479338843
1345,Cornus,3,1.843373494
217,Cornus,4,1.892183288
1208,Cornus,2,2.029239766
972,Cornus,5,1.99375
635,Cornus,2,2.639705882
523,Cornus,3,2.04290429
463,Cornus,2,1.971530249
939,Cornus,3,1.892857143
837,Cornus,3,1.978915663
677,Cornus,4,2.431818182
467,Cornus,1,2.158064516
572,Cotinus,1,1.58
1431,Cotinus,1,1.67638484
831,Cotinus,1,1.511111111
1386,Cotinus,1,1.537815126
622,Cotinus,1,1.624277457
360,Cotinus,1,1.523160763
1112,Cotinus,1,1.663793103
60,Cotinus,1,1.455801105
224,Cotinus,2,1.501392758
552,Cotinus,1,1.385638298
1284,Crataegus,35,1.008080808
968,Crataegus,38,1.13490364
709,Crataegus,36,1.274463007
1017,Crataegus,48,1.085526316
218,Crataegus,44,1.439613527
366,Crataegus,24,1.020576132
1066,Crataegus,47,1.079497908
721,Crataegus,39,1.064239829
1372,Crataegus,29,1.201980198
630,Crataegus,32,1.104121475
1392,Cytisus,5,2.356097561
49,Cytisus,3,2.125
1460,Cytisus,1,2.245614035
1132,Cytisus,1,2.35078534
792,Cytisus,1,2.134328358
553,Cytisus,1,2.441314554
1263,Cytisus,1,2.217142857
571,Cytisus,1,2.241573034
1355,Cytisus,1,2.369047619
419,Cytisus,2,2.140495868
1239,Eucalyptus,1,3.267175573
289,Eucalyptus,2,3.28125
678,Eucalyptus,2,2.878881988
882,Eucalyptus,3,4.151041667
56,Eucalyptus,1,3.103305785
752,Eucalyptus,2,3.065843621
720,Eucalyptus,3,3.628571429
689,Eucalyptus,1,4.084158416
771,Eucalyptus,2,4.057416268
844,Eucalyptus,2,3.523584906
302,Eucalyptus,2,3.551724138
1186,Eucalyptus,2,3.043824701
760,Eucalyptus,2,2.88671875
996,Eucalyptus,2,2.378091873
173,Eucalyptus,2,3.582278481
1378,Eucalyptus,2,3.213114754
797,Eucalyptus,2,3.872807018
606,Eucalyptus,1,2.564102564
588,Eucalyptus,3,2.417266187
1452,Eucalyptus,3,2.572992701
310,Eucalyptus,2,2.301526718
772,Eucalyptus,2,2.181818182
1344,Eucalyptus,1,2.531746032
1373,Eucalyptus,1,2.091205212
1514,Eucalyptus,3,2.04494382
904,Eucalyptus,2,1.828313253
1080,Eucalyptus,1,2.446280992
660,Eucalyptus,2,2.042857143
393,Eucalyptus,1,2.284090909
265,Eucalyptus,2,2.161392405
1202,Fagus,3,1.628272251
516,Fagus,4,1.523573201
25,Fagus,2,1.712820513
258,Fagus,1,1.559585492
623,Fagus,2,1.704960836
45,Fagus,5,1.63255814
335,Fagus,1,1.579746835
437,Fagus,2,1.531818182
774,Fagus,2,1.75
1289,Fagus,1,1.766666667
462,Ginkgo,1,1.585561497
178,Ginkgo,1,1.487113402
116,Ginkgo,1,1.388174807
645,Ginkgo,2,1.401960784
1319,Ginkgo,1,1.470737913
1309,Ginkgo,2,1.430693069
532,Ginkgo,2,1.379146919
1536,Ginkgo,8,1.446078431
806,Ginkgo,2,1.544
413,Ginkgo,1,1.389548694
1349,Ilex,12,1.779874214
963,Ilex,10,1.920634921
1346,Ilex,15,1.810298103
1438,Ilex,20,1.705539359
155,Ilex,9,1.777456647
1325,Ilex,14,1.580952381
910,Ilex,8,1.677740864
600,Ilex,12,1.965616046
248,Ilex,14,1.874576271
1501,Ilex,15,1.90504451
789,Ilex,2,1.740425532
1463,Ilex,3,1.657894737
1250,Ilex,2,1.710084034
231,Ilex,2,1.861244019
1056,Ilex,2,1.70531401
106,Ilex,1,1.67281106
1360,Ilex,2,1.930693069
1347,Ilex,3,1.640186916
697,Ilex,3,1.708333333
1574,Ilex,2,1.906403941
1197,Liquidambar,6,1.318343195
1391,Liquidambar,21,1.206163656
396,Liquidambar,9,1.167346939
827,Liquidambar,10,1.206349206
568,Liquidambar,10,1.276159655
573,Liquidambar,11,1.167152575
1350,Liquidambar,12,1.154239019
358,Liquidambar,8,1.285513361
124,Liquidambar,8,1.212273642
219,Liquidambar,6,1.377204885
538,Liriodendron,2,1.095180723
878,Liriodendron,3,1.172684458
794,Liriodendron,2,1.135883905
48,Liriodendron,5,1.055367232
85,Liriodendron,4,1.031884058
430,Liriodendron,3,1.094235033
501,Liriodendron,4,1.007821229
722,Liriodendron,4,1.156906077
122,Liriodendron,2,1.025498891
212,Liriodendron,8,1.134163209
325,Lithocarpus,3,2.720221607
908,Lithocarpus,1,2.437974684
348,Lithocarpus,2,2.666666667
252,Lithocarpus,2,2.458515284
149,Lithocarpus,1,2.462724936
585,Lithocarpus,2,2.541450777
811,Lithocarpus,2,2.396648045
597,Lithocarpus,2,2.357326478
519,Lithocarpus,3,2.359459459
1131,Lithocarpus,1,2.329048843
410,Lithocarpus,2,2.664310954
1147,Lithocarpus,2,2.304054054
1483,Lithocarpus,2,2.666666667
1394,Lithocarpus,1,2.323432343
241,Lithocarpus,2,2.47440273
1036,Lithocarpus,2,2.334437086
616,Lithocarpus,4,2.480968858
619,Lithocarpus,3,2.37
233,Lithocarpus,2,2.913043478
428,Lithocarpus,3,2.432432432
856,Magnolia,2,1.877755511
363,Magnolia,2,1.79350348
1384,Magnolia,3,1.794432548
328,Magnolia,2,1.709507042
809,Magnolia,3,1.620869565
214,Magnolia,2,1.710629921
854,Magnolia,3,1.684021544
1219,Magnolia,3,1.688695652
1031,Magnolia,3,1.723232323
1206,Magnolia,3,1.826722338
411,Magnolia,1,2.203252033
749,Magnolia,3,2.201591512
562,Magnolia,2,2.087912088
338,Magnolia,2,2.184986595
748,Magnolia,2,2.336870027
256,Magnolia,1,1.982248521
8,Magnolia,3,1.961340206
1049,Magnolia,2,2.056756757
874,Magnolia,3,2.076923077
1575,Magnolia,2,1.896373057
390,Morus,40,1.175105485
550,Morus,45,1.33819242
716,Morus,51,1.215946844
304,Morus,44,1.301369863
1254,Morus,33,1.289433384
711,Morus,52,1.256157635
981,Morus,31,1.131147541
1173,Morus,46,1.206779661
1228,Morus,45,1.209302326
1440,Morus,61,1.277108434
502,Olea,2,3.300653595
931,Olea,2,3.660550459
449,Olea,2,3.279069767
633,Olea,1,2.85840708
1499,Olea,2,3.859649123
732,Olea,2,2.840909091
1032,Olea,2,3.634782609
1251,Olea,2,3.308270677
1505,Olea,2,3.954545455
342,Olea,1,3.690909091
1330,Phildelphus,4,2.137931034
886,Phildelphus,6,2.238095238
269,Phildelphus,11,2.232484076
1271,Phildelphus,11,2.065217391
609,Phildelphus,5,2.235087719
952,Phildelphus,10,2.088957055
673,Phildelphus,14,1.563380282
1014,Phildelphus,3,2.132450331
520,Phildelphus,19,1.939473684
26,Phildelphus,4,2.208053691
970,Populus,1,1.533665835
656,Populus,3,1.43358396
740,Populus,4,1.322418136
559,Populus,4,1.515463918
30,Populus,4,1.602150538
455,Populus,4,1.548969072
933,Populus,3,1.573643411
994,Populus,3,1.397560976
294,Populus,2,1.426395939
367,Populus,4,1.496221662
1223,Populus,4,1.183673469
1545,Populus,6,1.20045045
440,Populus,4,1.148230089
530,Populus,2,1.102222222
388,Populus,5,1.212765957
1001,Populus,3,1.183066362
694,Populus,7,1.139689579
1521,Populus,3,1.053691275
237,Populus,8,1.167800454
561,Populus,5,1.130530973
634,Populus,6,1.237762238
601,Populus,6,1.269230769
397,Populus,5,1.275058275
883,Populus,5,1.538043478
470,Populus,5,1.439528024
1413,Populus,6,1.265582656
712,Populus,5,1.219907407
282,Populus,5,1.191873589
188,Populus,6,1.120204604
985,Populus,4,1.224586288
894,Prunus,86,2.27173913
987,Prunus,59,2.444108761
924,Prunus,84,2.705357143
1286,Prunus,91,2.503597122
81,Prunus,83,2.692090395
1340,Prunus,85,2.181818182
456,Prunus,72,2.90060241
1322,Prunus,68,2.507204611
865,Prunus,90,2.246537396
145,Prunus,86,2.711956522
1547,Prunus,52,1.957055215
542,Prunus,52,2.349090909
1324,Prunus,58,2.184491979
1496,Prunus,60,1.645539906
1414,Prunus,53,2.029325513
1172,Prunus,91,1.755144033
80,Prunus,74,1.771698113
1411,Prunus,75,1.75
1468,Prunus,100,1.859913793
859,Prunus,88,1.829885057
1023,Pterocarya,6,3.541237113
1076,Pterocarya,34,3.395939086
762,Pterocarya,34,3.44047619
966,Pterocarya,20,3.479166667
1518,Pterocarya,32,3.362694301
2,Pterocarya,19,3.286486486
1328,Pterocarya,12,3.165680473
937,Pterocarya,6,2.885350318
431,Pterocarya,4,3.965909091
1408,Pterocarya,33,3.533742331
1310,Quercus,11,2.25
1584,Quercus,15,2.003095975
955,Quercus,8,1.817391304
759,Quercus,8,1.555256065
595,Quercus,9,1.696883853
1157,Quercus,15,2.283333333
134,Quercus,15,1.990936556
21,Quercus,7,1.967647059
1134,Quercus,16,2.115987461
260,Quercus,11,1.887905605
517,Quercus,8,1.425257732
206,Quercus,6,1.44047619
387,Quercus,6,1.605263158
478,Quercus,13,1.797687861
392,Quercus,6,1.609418283
142,Quercus,8,1.620111732
340,Quercus,5,1.224324324
204,Quercus,12,1.510971787
243,Quercus,8,1.674846626
1457,Quercus,8,1.604863222
508,Quercus,4,1.492836676
958,Quercus,11,1.174563591
1312,Quercus,12,1.437837838
861,Quercus,11,1.371657754
75,Quercus,19,1.526610644
728,Quercus,16,1.54084507
1374,Quercus,11,1.293506494
849,Quercus,21,1.363395225
133,Quercus,13,1.671511628
1449,Quercus,18,1.272493573
1507,Quercus,26,2.290429043
452,Quercus,17,2.077586207
642,Quercus,18,1.961956522
14,Quercus,14,2.60546875
1205,Quercus,21,2.150306748
999,Quercus,25,2.085152838
896,Quercus,21,2.072992701
494,Quercus,17,2.216066482
742,Quercus,15,2.294117647
1424,Quercus,17,2.252631579
179,Quercus,10,2.607594937
848,Quercus,14,2.487889273
1358,Quercus,9,2.789256198
948,Quercus,22,2.388059701
76,Quercus,24,3.353174603
596,Quercus,22,2.704
1095,Quercus,6,2.659722222
826,Quercus,11,2.440677966
139,Quercus,12,2.212643678
10,Quercus,12,2.615131579
1048,Quercus,3,2.510510511
492,Quercus,9,2.472826087
228,Quercus,10,2.786350148
1051,Quercus,17,2.657681941
863,Quercus,17,2.675
766,Quercus,11,2.686842105
825,Quercus,11,2.614609572
1037,Quercus,14,2.473684211
1508,Quercus,15,2.567567568
815,Quercus,16,2.590909091
901,Quercus,13,2.751724138
1283,Quercus,14,2.157303371
667,Quercus,9,2.656565657
165,Quercus,11,2.37037037
1554,Quercus,11,2.585284281
548,Quercus,9,2.771428571
240,Quercus,15,2.002762431
1220,Quercus,12,2.475728155
1502,Quercus,12,2.413580247
897,Quercus,14,3.480286738
1291,Quercus,2,2.956692913
283,Quercus,4,2.713754647
1479,Quercus,4,2.653136531
458,Quercus,1,2.660377358
168,Quercus,2,3.154150198
821,Quercus,1,2.70411985
923,Quercus,2,2.59057971
326,Quercus,3,2.645283019
1061,Quercus,3,2.580071174
675,Quercus,1,2.707865169
1390,Quercus,4,2.030674847
1145,Quercus,5,1.813253012
69,Quercus,4,1.603174603
87,Quercus,3,1.883116883
1257,Quercus,5,1.886363636
632,Quercus,6,1.923566879
22,Quercus,5,1.834482759
1083,Quercus,5,1.74
840,Quercus,5,1.711538462
1027,Quercus,4,1.587912088
163,Quercus,15,1.149741824
605,Quercus,10,1.370510397
1007,Quercus,10,1.301270417
1530,Quercus,15,1.143598616
576,Quercus,10,1.164556962
510,Quercus,9,1.171171171
469,Quercus,9,1.072164948
841,Quercus,12,1.213483146
1539,Quercus,9,1.148333333
189,Quercus,14,1.166071429
129,Quercus,9,2.029032258
1142,Quercus,9,1.815625
257,Quercus,10,1.893939394
768,Quercus,8,1.857142857
1072,Quercus,7,2.108552632
426,Quercus,6,1.735202492
755,Quercus,7,1.600591716
63,Quercus,6,1.920118343
369,Quercus,9,1.935185185
382,Quercus,9,1.941558442
581,Quercus,3,3.451612903
706,Quercus,2,3.369565217
1110,Quercus,3,3.385135135
1167,Quercus,4,3.612676056
816,Quercus,2,3.320610687
309,Quercus,4,3.266666667
270,Quercus,3,3.839160839
1275,Quercus,3,3.424460432
684,Quercus,3,3.684563758
330,Quercus,2,3.21969697
1292,Quercus,3,1.878504673
1123,Quercus,5,2.226804124
315,Quercus,4,2.135313531
101,Quercus,6,1.872274143
920,Quercus,4,2.135416667
1236,Quercus,3,1.721212121
215,Quercus,3,2.188356164
898,Quercus,3,1.805555556
899,Quercus,1,1.743119266
1101,Quercus,4,1.980707396
1281,Quercus,13,1.162818955
445,Quercus,8,1.094007051
767,Quercus,12,1.120670391
779,Quercus,13,1.372294372
938,Quercus,12,1.4
824,Quercus,10,1.149595687
1419,Quercus,9,1.338129496
344,Quercus,14,1.037296037
490,Quercus,16,1.29519774
564,Quercus,13,1.095074456
1480,Quercus,10,1.727536232
1327,Quercus,5,2.050724638
682,Quercus,5,1.95112782
1225,Quercus,12,2.336996337
654,Quercus,4,1.854304636
785,Quercus,8,1.888513514
82,Quercus,8,1.908163265
871,Quercus,6,2.185314685
1516,Quercus,7,1.882352941
1166,Quercus,3,2.006920415
275,Quercus,6,1.725274725
1171,Quercus,5,1.584487535
3,Quercus,5,1.631853786
628,Quercus,7,1.850746269
66,Quercus,4,1.587431694
1436,Quercus,6,1.620396601
1081,Quercus,10,1.754285714
801,Quercus,9,1.655080214
1130,Quercus,9,1.81512605
1366,Quercus,4,1.950617284
733,Quercus,2,2.564971751
618,Quercus,2,2.626943005
267,Quercus,2,2.380681818
539,Quercus,1,2.515151515
803,Quercus,2,2.848314607
35,Quercus,2,2.226600985
1348,Quercus,2,2.49112426
1006,Quercus,3,2.797619048
777,Quercus,2,3.283783784
1294,Quercus,2,3.183206107
497,Quercus,2,2.598837209
263,Quercus,2,2.789634146
1194,Quercus,1,2.750684932
812,Quercus,1,3.108108108
1365,Quercus,1,2.71849866
1282,Quercus,1,2.815625
1380,Quercus,2,2.493606138
979,Quercus,2,2.98265896
435,Quercus,2,3.040677966
307,Quercus,2,2.839116719
1339,Quercus,6,2.336134454
879,Quercus,1,2.706422018
1244,Quercus,2,2.52991453
1329,Quercus,1,2.379746835
664,Quercus,2,2.196721311
1100,Quercus,4,1.947916667
1353,Quercus,1,2.37745098
918,Quercus,5,2.472560976
1253,Quercus,1,2.356846473
851,Quercus,4,2.047457627
202,Quercus,6,2.602739726
1168,Quercus,4,2.465346535
852,Quercus,12,2.222222222
487,Quercus,9,2.333333333
349,Quercus,12,2.644067797
1454,Quercus,6,2.445901639
67,Quercus,8,2.920454545
1529,Quercus,10,2.8
944,Quercus,9,2.761403509
989,Quercus,12,2.543554007
1459,Quercus,2,2.106589147
1388,Quercus,2,2.311004785
1180,Quercus,3,2.096997691
1559,Quercus,2,2.983213429
1571,Quercus,1,2.62716763
730,Quercus,2,2.434567901
485,Quercus,2,3.012931034
724,Quercus,2,2.508130081
693,Quercus,1,2.383587786
753,Quercus,1,2.74559194
130,Quercus,10,1.013986014
417,Quercus,13,1.071979434
1446,Quercus,16,1.184110971
1262,Quercus,11,1.015082956
329,Quercus,11,1.010123735
354,Quercus,12,1.114450867
1093,Quercus,16,1.079889807
1024,Quercus,16,1.004048583
262,Quercus,15,1.123342175
802,Quercus,13,1.110638298
1113,Quercus,3,4.618090452
1144,Quercus,2,4.519607843
1475,Quercus,1,4.681818182
1572,Quercus,2,4.464788732
1098,Quercus,2,4.018604651
1268,Quercus,3,4.210280374
1469,Quercus,4,4.092165899
796,Quercus,2,4.268518519
132,Quercus,2,4.213953488
127,Quercus,2,4.185714286
1326,Quercus,4,2.630057803
1491,Quercus,3,2.521327014
545,Quercus,6,2.481675393
43,Quercus,1,2.521327014
1494,Quercus,3,2.194570136
975,Quercus,5,2.390243902
911,Quercus,3,2.376106195
875,Quercus,4,2.218009479
40,Quercus,4,2.328571429
543,Quercus,3,2.572916667
451,Quercus,8,2.101910828
20,Quercus,31,2.258169935
860,Quercus,27,1.958944282
247,Quercus,29,1.877192982
657,Quercus,43,1.742937853
1090,Quercus,32,2.029761905
726,Quercus,28,1.774566474
433,Quercus,21,1.744985673
862,Quercus,35,1.870317003
1231,Quercus,30,1.956790123
1299,Quercus,8,1.935064935
521,Quercus,11,1.797202797
1276,Quercus,10,1.580952381
29,Quercus,19,1.65993266
885,Quercus,4,1.65483871
245,Quercus,10,1.525157233
1305,Quercus,9,1.54248366
303,Quercus,12,1.473214286
1563,Quercus,12,1.565517241
808,Quercus,13,1.602996255
1089,Quercus,6,1.492366412
194,Quercus,4,1.992217899
72,Quercus,4,1.438253012
460,Quercus,5,1.709323583
916,Quercus,4,1.515711645
298,Quercus,1,1.855072464
912,Quercus,6,1.734939759
1523,Quercus,4,1.63326226
333,Quercus,4,1.857414449
1170,Quercus,3,1.557844691
1163,Quercus,3,2.901060071
876,Quercus,4,3.522900763
481,Quercus,5,3.701807229
1552,Quercus,5,2.910769231
1337,Quercus,3,2.785529716
1120,Quercus,2,3.30994152
1323,Quercus,4,3.512280702
1399,Quercus,3,3.074626866
375,Quercus,7,3.05862069
1403,Quercus,6,3.488888889
383,Quercus,12,1.4578125
593,Quercus,17,1.302660754
420,Quercus,6,1.442508711
1582,Quercus,13,1.435768262
978,Quercus,17,1.375766871
11,Quercus,9,1.233748271
1432,Quercus,6,1.330548926
1128,Quercus,10,1.282738095
389,Quercus,18,1.391167192
356,Quercus,7,1.224178404
547,Quercus,6,1.211488251
482,Quercus,6,1.116161616
603,Quercus,11,1.255319149
171,Quercus,15,1.224806202
1222,Quercus,10,1.252688172
1359,Quercus,14,1.233933162
108,Quercus,13,1.383152174
951,Quercus,6,1.212276215
1402,Quercus,12,1.335978836
1010,Quercus,14,1.288359788
446,Quercus,9,1.176591376
355,Quercus,9,1.196883853
900,Quercus,13,1.442724458
1423,Quercus,18,1.235294118
1531,Quercus,18,1.167750325
563,Quercus,19,1.144670051
377,Quercus,9,1.135989011
1379,Quercus,15,1.228929385
1476,Quercus,9,1.282051282
468,Quercus,15,1.321027287
321,Quercus,3,2.194444444
92,Quercus,2,2.166666667
83,Quercus,4,2.122137405
1065,Quercus,3,2.198757764
813,Quercus,2,1.96
1278,Quercus,3,1.993464052
1569,Quercus,1,1.928571429
1549,Quercus,1,2.02919708
246,Quercus,2,2.070921986
822,Quercus,2,2.030612245
858,Quercus,12,1.5
936,Quercus,8,1.378723404
1500,Quercus,7,1.556904401
680,Quercus,7,1.336194564
823,Quercus,10,1.523381295
1555,Quercus,10,1.308056872
109,Quercus,10,1.433717579
438,Quercus,12,1.498498499
1341,Quercus,10,1.557659208
870,Quercus,12,1.5856
319,Quercus,17,1.76300578
919,Quercus,18,2.219269103
84,Quercus,17,2.183333333
31,Quercus,18,1.984520124
1156,Quercus,16,1.873529412
491,Quercus,11,1.93125
784,Quercus,20,1.930091185
1016,Quercus,23,2.021538462
444,Quercus,15,1.953560372
259,Quercus,22,2.235690236
32,Quercus,21,2.992217899
120,Quercus,28,2.304635762
190,Quercus,17,2.732600733
866,Quercus,22,2.790613718
64,Quercus,19,2.864150943
278,Quercus,25,2.769516729
327,Quercus,21,2.37037037
961,Quercus,22,2.641577061
692,Quercus,24,2.542253521
6,Quercus,28,2.467576792
323,Quercus,6,1.426724138
1187,Quercus,15,1.778975741
1557,Quercus,12,1.594117647
995,Quercus,12,1.757925072
1210,Quercus,15,1.720930233
1541,Quercus,12,1.630541872
776,Quercus,11,1.623036649
695,Quercus,10,1.819526627
1441,Quercus,13,1.822222222
850,Quercus,12,1.626373626
1375,Quercus,15,2.630331754
514,Quercus,12,2.708520179
524,Quercus,14,2.485530547
828,Quercus,13,2.406779661
1568,Quercus,16,2.823333333
1548,Quercus,11,2.806603774
350,Quercus,12,2.62962963
1515,Quercus,6,2.292887029
631,Quercus,15,2.579646018
345,Quercus,13,2.566666667
1148,Quercus,2,2.266881029
1492,Quercus,11,2.436482085
1317,Quercus,1,2.597972973
917,Quercus,3,2.321311475
280,Quercus,8,2.174311927
225,Quercus,7,2.786713287
1356,Quercus,12,2.592334495
934,Quercus,9,2.571428571
306,Quercus,3,2.784946237
379,Quercus,2,3.028880866
907,Rhododendron,3,3.640625
927,Rhododendron,3,3.628712871
54,Rhododendron,3,3.368421053
778,Rhododendron,3,3.572769953
700,Rhododendron,2,3.398907104
710,Rhododendron,3,3.156424581
1352,Rhododendron,3,2.974576271
103,Rhododendron,3,3.377358491
1561,Rhododendron,2,3.140077821
1046,Rhododendron,3,2.925925926
1543,Salix,18,4.041666667
704,Salix,3,3.96031746
620,Salix,41,5.102325581
15,Salix,8,4.995169082
1472,Salix,42,4.978165939
1025,Salix,10,5.033333333
1073,Salix,19,4.46460177
1077,Salix,21,5.696969697
847,Salix,12,4.616033755
976,Salix,2,4.458333333
681,Salix,5,3.116959064
522,Salix,2,2.938888889
