id,label,number_corners,length_width_ratio,perimeter_area_ratio,ratio_of_areas,solidity,mu02,mu03,m11,nu02,m12,mu21,mu20,nu20,m30,nu21,mu11,mu12,nu11,nu12,m02,m03,m00,m01,mu30,nu30,nu03,m10,m20,m21,hu1,hu2,hu3,hu4,hu5,hu6,hu7
160,Acer,27,1.164835165,0.023676081,1.895579993,0.70187731,1195298516,-12552546805,10100456871,0.075992458,3.09E+12,2379953175,1564754700,0.099481053,4.68E+12,0.000427254,-43706381.22,-1941130666,-0.002778683,-0.000348476,10499223500,3.50E+12,125416,34159348,1040287649,0.000186755,-0.002253458,37244281.67,12625038212,3.42E+12,0.00068711,8.80E-09,8.31E-13,2.03E-13,8.31E-26,-1.90E-17,-3.79E-27
1000,Acer,43,1.171111111,0.024082421,1.796522859,0.699553305,1314878071,-15211583490,10385399864,0.07763613,3.16E+12,2621236031,1674337372,0.098860173,4.98E+12,0.000429022,-102489409.7,-7853248318,-0.006051421,-0.001285353,10767238067,3.60E+12,130140,35073211,2463144627,0.000403147,-0.002489702,38915567.5,13311200703,3.53E+12,0.000690997,9.14E-09,1.94E-12,2.93E-13,2.03E-25,-2.67E-17,8.64E-26
164,Acer,43,1.104575163,0.022470764,1.826489287,0.72672881,1244986688,-17444610747,9742426990,0.07877538,3.05E+12,10255741033,1491322611,0.094362058,3.99E+12,0.001830203,-104153033.6,2930593157,-0.006590187,0.000522983,11110191570,3.79E+12,125715,35216533.5,-5944088177,-0.001060761,-0.003113103,35150047,11319312940,3.12E+12,0.000678028,6.28E-09,4.78E-12,1.15E-13,7.89E-27,-9.08E-18,8.50E-26
962,Acer,43,1.093023256,0.021741849,1.798637825,0.739147072,1423059491,-7712239876,11234690495,0.078963578,3.56E+12,-5146811842,1699779081,0.09431836,5.12E+12,-0.000779458,-117587761.5,-7660439513,-0.00652478,-0.001160135,12158273462,4.24E+12,134245,37962465.67,5794340158,0.000877523,-0.00116798,40144563,13704590720,3.80E+12,0.000678661,6.19E-09,1.21E-12,2.29E-13,2.46E-26,-1.66E-17,-1.18E-25
235,Acer,38,1.076131687,0.022827532,1.920005439,0.664970949,1549028686,-28316571283,12088249895,0.090839111,4.19E+12,11224272743,1540513735,0.090339772,4.88E+12,0.001821482,-24970692.17,-16098911697,-0.001464347,-0.002612542,14115949464,5.31E+12,130585,40509892,11156152845,0.001810428,-0.004595232,39047374.17,13216413948,4.10E+12,0.000709394,1.33E-10,1.16E-11,5.02E-13,1.20E-24,-2.17E-18,8.67E-26
496,Acer,40,1.063291139,0.021813598,1.771305702,0.711745095,1494855143,-17624324138,10110578287,0.084368632,3.12E+12,8521395936,1620713736,0.091472007,4.40E+12,0.001318221,-157823946.9,-11031879779,-0.008907479,-0.001706581,11377404319,3.90E+12,133109.5,36269287,6087130478,0.000941651,-0.002726402,37685380.67,12290034227,3.27E+12,0.000688407,5.61E-09,4.80E-12,1.54E-13,9.48E-26,-1.13E-17,9.21E-26
1506,Acer,34,1.16744186,0.024421135,1.834857706,0.711088904,1038010273,-11699987636,8602304079,0.077161027,2.54E+12,5829771821,1302257998,0.096804017,3.76E+12,0.001272468,-7262864.055,-784867922.4,-0.000539889,-0.000171314,8980190486,2.88E+12,115985,30350844.67,2017645855,0.000440393,-0.002553764,32901246.5,10635292625,2.78E+12,0.000681174,5.89E-09,2.43E-12,1.00E-13,3.59E-26,-6.90E-18,-3.43E-26
1019,Acer,34,1.146993318,0.023926223,1.917705405,0.700150759,1110645431,-15254583441,9450003875,0.07857441,2.92E+12,9990123781,1382931986,0.097837763,4.04E+12,0.00204976,-3145891.961,-5323344595,-0.000222561,-0.001092237,10159886712,3.40E+12,118890.5,32800439.33,1480700024,0.000303808,-0.003129914,34264471,11258018498,3.11E+12,0.000690661,5.64E-09,5.92E-12,1.07E-13,3.13E-27,-2.59E-18,8.54E-26
268,Acer,39,1.141860465,0.023889268,1.737423777,0.725907743,1036309869,-9404512149,8180276287,0.078109085,2.43E+12,2206813077,1253165686,0.094454012,3.28E+12,0.000490095,32917592.91,-2159765709,0.002481076,-0.000479647,8962714210,2.89E+12,115184.5,30215872,3712620766,0.000824509,-0.00208858,31058161.67,9627637999,2.55E+12,0.000675678,4.40E-09,1.04E-12,1.58E-13,2.36E-26,-1.04E-17,-5.93E-26
166,Acer,41,1.11409396,0.025804091,1.939279367,0.692730691,1029767404,-13585698985,9040008633,0.080467768,2.81E+12,2629117079,1233421544,0.096381647,3.77E+12,0.00061082,4923428.268,4335672973,0.000384725,0.001007303,9710091662,3.25E+12,113125,31336267.83,-4970951398,-0.001154896,-0.003156353,32616967,10637766617,2.95E+12,0.000692166,3.86E-09,2.50E-12,3.83E-13,2.40E-25,-2.35E-17,2.88E-25
1556,Acer,5,1.484641638,0.021474028,2.12332989,0.788562884,173762794.8,-2451812186,2739453141,0.049364577,5.63841E+11,-181140305.2,577613945.9,0.164095357,1.27E+12,-0.00021127,35992407.8,39171225.63,0.010225146,4.57E-05,2269844443,4.89513E+11,59329.5,11151658,2962986087,0.003455834,-0.002859634,14383060.67,4064453278,7.8123E+11,0.000834824,2.06E-07,9.21E-13,1.28E-12,-1.27E-24,-3.71E-17,5.67E-25
807,Acer,6,1.347079038,0.021214836,2.043934779,0.826379936,195936387.8,-3821315060,2246525929,0.06448011,4.60614E+11,2305476282,373106395.9,0.122784449,8.22958E+11,0.003231462,-15455835.86,-459793478.6,-0.005086314,-0.000644468,2132541738,4.6934E+11,55124.5,10332202.17,-495981359.5,-0.00069519,-0.005356131,12068154.67,3015132302,5.60676E+11,0.000733269,5.35E-08,1.30E-11,3.70E-13,2.33E-26,-5.25E-17,8.11E-25
288,Acer,4,1.344512195,0.022639891,2.215706999,0.685094317,217569870,162095956.4,3141454270,0.05687289,6.37225E+11,-12401534233,623226800.7,0.162911848,1.84E+12,-0.013034927,-62541441.27,3224687717,-0.016348369,0.003389385,2363456879,5.21441E+11,61851,11520644.83,-7268169680,-0.007639382,0.000170375,17201323.5,5407070718,9.59957E+11,0.000860102,1.86E-07,1.11E-10,1.09E-11,-3.28E-22,-4.45E-15,-1.95E-22
892,Acer,7,1.466898955,0.020406826,1.978888925,0.792322641,211236013.9,-3815898511,2785661979,0.058012471,6.20261E+11,1213313737,508214046.2,0.139572567,1.03E+12,0.001356485,45960331.4,2024496173,0.012622243,0.002263386,2661913764,6.17769E+11,60342.5,12160593,-1923329037,-0.002150282,-0.004266174,13594768.5,3571026004,7.41578E+11,0.000773956,1.11E-07,8.76E-12,5.15E-13,8.58E-25,-1.68E-16,6.79E-25
1005,Acer,3,1.473509934,0.020564435,2.087352251,0.796381931,213132302.8,-4432349523,2970616172,0.052633713,6.12732E+11,1305784721,636607901,0.157212384,1.44E+12,0.001278321,23847171.53,282651899.8,0.005889136,0.000276707,2435786472,5.30461E+11,63634.5,11892749.33,-1532954765,-0.001500713,-0.004339127,15767268.5,4543399908,8.62246E+11,0.00082051,1.68E-07,3.99E-12,6.51E-13,1.83E-25,-1.75E-16,1.03E-24
1519,Acer,5,1.402255639,0.020598943,1.815085158,0.847418513,136590133.3,-1353078253,1909268992,0.050952129,3.47702E+11,-243731705.9,391301829.4,0.145967069,8.26259E+11,-0.000399568,6089418.418,289382899.5,0.002271532,0.000474408,1555574290,3.01394E+11,51776,8571424.833,-1164825698,-0.001909588,-0.002218205,11496224.67,2943897271,4.89817E+11,0.000770251,1.37E-07,6.85E-13,5.31E-13,-3.05E-25,-9.94E-17,9.69E-26
489,Acer,5,1.350453172,0.019585335,2.096807109,0.795393533,267289248.9,-4912953605,3638486385,0.054900409,8.26461E+11,-21646244.38,704412726.4,0.144684257,1.61E+12,-1.68E-05,-1816797.068,-178075503.6,-0.000373165,-0.000138467,3313859570,7.9924E+11,69775.5,14579985.17,-303854550.3,-0.00023627,-0.003820193,17421415.17,5054158789,1.06E+12,0.000781017,1.22E-07,7.67E-13,8.94E-13,7.27E-25,-3.08E-16,1.42E-25
216,Acer,3,1.393491124,0.021944275,2.373291194,0.687627961,213945148.4,-1427334848,3332832921,0.05309696,7.24176E+11,-5629035202,619614561.8,0.153776095,1.62E+12,-0.005544891,41950534.23,-2412353747,0.010411294,-0.002376293,2721737996,6.24605E+11,63477,12616939.67,9180595009,0.009043361,-0.001405999,16556736.17,4938115948,9.97774E+11,0.000810688,1.60E-07,3.03E-11,5.48E-12,-1.02E-23,-6.37E-16,6.99E-23
499,Acer,6,1.205633803,0.02026312,2.172744173,0.729439086,248410642.1,-3781536459,3273149781,0.055760443,7.63196E+11,-2044635084,645655883.4,0.144929613,1.23E+12,-0.001776482,-7717778.16,-628433321.9,-0.001732401,-0.000546015,3381336627,8.36432E+11,66745.5,14460591.67,6603474371,0.005737432,-0.00328559,15143443,4081451044,8.78711E+11,0.00078554,1.20E-07,3.62E-12,3.14E-12,-4.69E-24,6.33E-17,9.47E-24
1342,Acer,5,1.292418773,0.024912369,2.069061926,0.759899995,120377366.5,-648896469.1,1728618514,0.053888126,3.21988E+11,-3444854674,344814230.6,0.154359521,6.76698E+11,-0.007093429,8294598.281,-377713282,0.003713159,-0.000777764,1499659805,2.96666E+11,47263.5,8074014.833,-890695719.9,-0.001834065,-0.001336167,10070396.33,2490505563,4.25542E+11,0.000814353,1.53E-07,2.45E-11,4.63E-12,-2.89E-23,-1.40E-15,-3.99E-23
1320,Acer,17,1.121779859,0.013794679,1.557100986,0.849644595,1170233575,-13642607506,9307863487,0.068873763,2.79E+12,932278448.4,1739054751,0.102351572,3.89E+12,0.000151975,-88802191.3,-8963359103,-0.005226428,-0.001461159,10657302277,3.49E+12,130349.5,35165816.67,5893000727,0.000960645,-0.002223945,34830718.83,11046178863,2.93E+12,0.000671038,1.87E-08,2.11E-12,2.71E-13,1.89E-25,-3.65E-17,-8.06E-26
1,Acer,5,1.139150943,0.013434664,1.557934135,0.878913582,1158311006,-19223495012,8869813064,0.068107781,2.57E+12,13331939078,1725067478,0.101432619,3.87E+12,0.00217074,2706039.181,3702281358,0.000159113,0.000602815,9594497915,3.01E+12,130411,33168834.33,-7837560102,-0.001276131,-0.003130018,34863097.17,11045106002,2.82E+12,0.000664349,1.69E-08,6.05E-12,8.03E-14,-3.07E-26,-3.45E-18,4.69E-26
1450,Acer,8,1.065759637,0.013600736,1.57575435,0.868118747,1165805925,-17048978078,8770522721,0.068445044,2.61E+12,8551365091,1719689920,0.100963848,3.45E+12,0.001389729,1940323.445,-7314662009,0.000113917,-0.001188746,10311363205,3.33E+12,130509.5,34548257.67,7840735033,0.001274241,-0.002770723,33124197.33,10126836135,2.69E+12,0.000663866,1.61E-08,4.20E-12,1.14E-13,5.50E-26,-1.43E-17,-5.58E-26
906,Acer,11,1.063781321,0.013099076,1.55860753,0.865494769,1187610219,-15519771023,9017276191,0.069682464,2.72E+12,7586220880,1675981891,0.09833744,3.55E+12,0.001231934,20039682.3,5523826176,0.001175819,0.00089702,10459239273,3.40E+12,130549.5,34790897.33,-6277463784,-0.001019404,-0.002520271,33761265.67,10406946463,2.79E+12,0.000658526,1.26E-08,3.09E-12,9.97E-14,3.82E-26,-1.08E-17,4.00E-26
1504,Acer,7,1.070135747,0.013319438,1.590315072,0.839661171,1302422230,-17438841431,9493240345,0.076537385,3.13E+12,1967440191,1570181068,0.092272345,3.11E+12,0.000320113,121893963.3,2614688395,0.00716315,0.000425424,12396167308,4.36E+12,130448.5,38041587.83,-1361000816,-0.000221442,-0.002837396,32135306.33,9486545865,2.83E+12,0.000661666,6.86E-09,9.41E-13,3.82E-13,2.27E-25,-2.65E-17,3.09E-26
1159,Acer,3,1.073634204,0.012449585,1.448078533,0.900587379,1389510723,-19747851323,8512748746,0.081618258,2.60E+12,10320779233,1419390324,0.083373351,3.00E+12,0.001678299,-51511381.5,-187291144.4,-0.003025719,-3.05E-05,10645534673,3.56E+12,130478,34752086.17,-1499627692,-0.00024386,-0.003211269,32154833.17,9343586709,2.47E+12,0.000646753,5.96E-10,4.01E-12,1.43E-13,9.31E-26,-2.06E-18,5.61E-26
1125,Acer,4,1.049773756,0.012774153,1.561278633,0.887491621,1233047144,-17309402276,8784596377,0.072492202,2.66E+12,8453795610,1599192162,0.094018271,3.32E+12,0.001376231,18496328.03,2735202527,0.00108742,0.000445276,10456878511,3.42E+12,130420,34683888,394067275.8,6.42E-05,-0.002817874,32962705,9930275745,2.66E+12,0.000652669,7.11E-09,2.92E-12,1.38E-13,5.90E-26,-9.78E-18,-6.53E-26
1002,Acer,8,1.183962264,0.013153798,1.616489333,0.875692339,1434734347,-20517685497,8785514096,0.084023307,2.84E+12,7693957243,1379011337,0.080759963,2.70E+12,0.001246479,-29684492.97,-3066328335,-0.001738433,-0.000496768,12088211746,4.25E+12,130673,37311149.17,1612760850,0.000261279,-0.003324021,30873035.83,8673129797,2.47E+12,0.000646038,3.59E-10,3.07E-12,2.56E-13,2.26E-25,2.53E-18,2.09E-26
317,Acer,6,1.00886918,0.012971294,1.562074189,0.86768894,1244870389,-17338935490,9184705178,0.073208071,2.89E+12,4735332591,1621192990,0.09533877,3.28E+12,0.000771159,76832623.49,-2441934522,0.004518356,-0.000397674,11360718986,3.84E+12,130401.5,36319716.83,3455549636,0.000562744,-0.002823683,32700702.17,9821527513,2.78E+12,0.000660558,8.69E-09,1.71E-12,2.54E-13,1.41E-25,-2.30E-17,-9.03E-26
1270,Acer,9,1.030769231,0.013868286,1.623380575,0.820863391,1298125654,-32333226791,9831808549,0.076336968,3.23E+12,12278991646,1649127407,0.096977812,3.42E+12,0.001999565,-11242660.77,-5625911365,-0.000661131,-0.000916148,12733386623,4.51E+12,130404,38616107.67,369130332.2,6.01E-05,-0.005265284,33239322.33,10121663135,3.00E+12,0.000679075,6.49E-09,7.90E-12,6.81E-13,1.38E-24,-4.96E-17,7.76E-25
324,Acer,7,1.163212435,0.043249605,2.582074432,0.487504842,399167127.7,-11255537555,4520999803,0.093187009,1.33E+12,-1635504114,519227151.1,0.121215456,1.48E+12,-0.001492459,4798401.91,-1021470111,0.001120204,-0.00093213,5204674193,1.62E+12,65448.5,17734520.83,1653268376,0.00150867,-0.010271101,16666850.5,4763539940,1.29E+12,0.000837468,1.19E-08,3.12E-12,8.29E-12,3.03E-23,-9.06E-16,-2.93E-23
27,Acer,7,1.12596401,0.047282921,2.8771995,0.438322096,324898323.7,-9753158115,3746027959,0.0978149,1.07E+12,-880376266.1,417051343,0.125558775,1.16E+12,-0.001104054,-16827636.17,-412616124.2,-0.005066181,-0.00051745,4390929213,1.33E+12,57633,15308088,35976130.41,4.51E-05,-0.012231147,14166671.67,3899337292,1.03E+12,0.000873286,1.32E-08,5.23E-12,1.07E-11,8.04E-23,-1.19E-15,-3.51E-24
118,Acer,19,1.034825871,0.047496553,2.811661455,0.454465475,335186260.9,-9542852484,3704464339,0.100137537,1.10E+12,-1396698509,412157863,0.123132951,1.01E+12,-0.001734767,4778619.304,1567416781,0.001427622,0.001946807,4730304297,1.48E+12,57855.5,15946214.33,1393085275,0.001730279,-0.011852681,13423071,3526448381,9.72785E+11,0.000872112,7.98E-09,3.63E-12,1.20E-11,7.69E-23,-9.96E-16,-1.90E-23
1041,Acer,12,1.095,0.048223019,2.856211281,0.445610141,345194842.7,-10577399378,4126694332,0.099749539,1.25E+12,334901273.5,422896715.1,0.12220273,1.22E+12,0.000399002,8155002.838,1822716725,0.002356518,0.002171588,5009478753,1.59E+12,58827,16564595.67,-1231593095,-0.001467322,-0.012601933,14626455,4059546313,1.15E+12,0.000866344,7.73E-09,1.53E-11,9.11E-12,1.01E-22,-7.98E-16,3.77E-23
1088,Acer,14,1.237726098,0.043428957,2.840704303,0.461840696,391614951.6,-12100042805,4512059854,0.096839892,1.34E+12,1981592167,508006134.6,0.125621504,1.50E+12,0.001943158,-8950486.428,375442153.4,-0.002213307,0.00036816,5190611395,1.63E+12,63592,17469338.33,3116407404,0.003055962,-0.011865354,16457411.5,4767132963,1.31E+12,0.0008693,1.29E-08,1.97E-11,6.53E-12,3.49E-23,-5.22E-16,-6.53E-23
203,Acer,3,1.150793651,0.048424084,2.923044104,0.428927075,295818885.9,-9073645786,3554446355,0.098856131,1.02E+12,-941786461.2,386222335.5,0.129066965,1.07E+12,-0.001345627,16418171.33,-299042718.9,0.00548659,-0.000427273,4169099271,1.26E+12,54703,14556100.33,1699753942,0.002428612,-0.012964446,13296195.5,3618016109,9.69769E+11,0.000891367,1.54E-08,5.79E-12,1.27E-11,7.65E-23,-1.58E-15,-7.83E-23
960,Acer,6,1.075268817,0.046853252,2.798781176,0.457956805,255726194.2,-7865566231,2873703266,0.09829143,7.91336E+11,-970207188.6,317610390.9,0.122077363,7.52455E+11,-0.001651163,1472216.94,-861500595.2,0.000565864,-0.001466159,3597559223,1.04E+12,51007,13055913.5,-245282794.6,-0.000417439,-0.013386145,11221266.83,2786228999,7.1285E+11,0.00086136,8.53E-09,5.22E-12,1.38E-11,1.17E-22,-1.22E-15,-8.23E-24
1551,Acer,12,1.141791045,0.048389646,2.915989759,0.440072273,376995422.3,-11384086698,4479371056,0.09967815,1.36E+12,-1563789313,489766360.9,0.129494954,1.44E+12,-0.001667278,15878427.51,-615388498.7,0.00419828,-0.000656114,5226207600,1.67E+12,61499,17269096.67,251506962.8,0.000268151,-0.012137467,15895465.67,4598220625,1.30E+12,0.000893667,1.44E-08,3.43E-12,1.15E-11,7.06E-23,-1.30E-15,-1.50E-23
1370,Acer,13,1.139325843,0.039944763,2.884807181,0.460563202,576806380.5,-19791994536,6542892682,0.098832592,2.13E+12,2487119929,684655637.2,0.117311967,2.34E+12,0.001541823,-16916324.85,-2723371959,-0.002898519,-0.001688281,7548308934,2.61E+12,76395,23077866.83,-101200027.5,-6.27E-05,-0.01226951,21715031.67,6857083156,2.06E+12,0.000845768,5.75E-09,1.86E-11,7.13E-12,8.06E-23,-5.40E-16,1.52E-23
1085,Acer,10,1.135391924,0.043616281,2.917000058,0.474274674,448525576.6,-14714568202,5354940984,0.099147084,1.70E+12,2081427642,525291930.8,0.116116373,1.74E+12,0.001774096,-34847591.81,-335588998.5,-0.007703099,-0.000286038,6410419486,2.16E+12,67259.5,20024834.67,1636662249,0.001395002,-0.012541903,18103244.83,5397874592,1.59E+12,0.000841514,7.82E-09,1.98E-11,7.14E-12,7.77E-23,-3.70E-16,-3.42E-23
362,Acer,4,1.242735043,0.021469433,3.231012923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000955225,8.40E-08,1.42E-10,2.24E-13,-2.61E-25,-2.17E-17,-1.23E-24
1538,Acer,6,1.261946903,0.020200484,3.063879466,0.504113918,1377681105,-92430533389,18686993919,0.081502664,7.53E+12,75566816009,2607679983,0.154268549,1.04E+13,0.012398239,215768016.8,16792562867,0.012764687,0.002755154,19126451113,7.99E+12,130013.5,48037274.17,-11207425376,-0.001838801,-0.015165067,49992610.33,21830769031,8.31E+12,0.000923354,9.08E-08,1.70E-10,5.08E-13,3.33E-24,-1.46E-16,-3.35E-24
949,Acer,7,1.285204991,0.020689969,3.068829996,0.488605002,1346476738,-75698652104,17865239341,0.079413347,6.83E+12,78832350013,2839361559,0.167461641,1.09E+13,0.012884655,-49009881.01,-11647708584,-0.002890535,-0.001903745,17728950631,7.17E+12,130212.5,46186609.33,40690365163,0.006650586,-0.012372471,50505096.83,22428608414,8.00E+12,0.000965784,1.19E-07,1.64E-10,1.32E-12,1.00E-23,4.37E-16,1.66E-23
1578,Acer,6,1.281786942,0.021882054,3.299956677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000980141,7.68E-08,1.83E-10,1.41E-12,1.44E-23,-3.69E-16,-1.76E-23
956,Acer,5,1.220168067,0.021685886,3.285742538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00098076,8.19E-08,2.49E-10,1.25E-12,-3.82E-26,-2.02E-16,2.22E-23
1417,Acer,6,1.301587302,0.020711025,3.178014567,0.463506075,1466040962,-1.05855E+11,19456460216,0.0866673,8.02E+12,83229560000,2762207748,0.163292223,1.10E+13,0.013643131,88413924.28,2414701136,0.005226727,0.000395822,20330015215,8.75E+12,130060.5,49532392.67,5798324818,0.000950471,-0.01735196,50855968.17,22647795595,8.78E+12,0.000978691,9.13E-08,2.02E-10,9.60E-13,6.92E-24,-2.47E-16,-1.14E-23
311,Acer,8,1.211505922,0.019884035,3.21146899,0.502681464,1426952457,-95466053997,20138144493,0.08412222,8.36E+12,86815849187,2552743760,0.150490278,1.14E+13,0.01418161,142288440.3,24722796218,0.00838824,0.004038537,20535989608,8.86E+12,130241.5,49887770.67,-32859931302,-0.005367761,-0.015594645,52202979.83,23476574517,9.19E+12,0.000918839,7.16E-08,2.20E-10,2.25E-13,-1.34E-24,1.18E-17,8.51E-25
810,Acer,5,1.342198582,0.022038777,3.242388572,0.455360302,1466947150,-1.19221E+11,20558346323,0.086830325,8.68E+12,84844201382,2977038439,0.176214402,1.21E+13,0.013929751,16917217.37,22474804296,0.00100135,0.003689921,21423264138,9.42E+12,129978.5,50930267.5,-21221542579,-0.00348416,-0.019573763,52423524.83,24120734942,9.55E+12,0.001029848,1.22E-07,2.38E-10,1.90E-12,4.03E-23,-6.64E-16,4.45E-24
915,Acer,6,1.329136691,0.021323289,3.120156128,0.473592988,1343592153,-80011609275,18217082573,0.079423662,6.98E+12,92443350464,2975769718,0.175906452,1.15E+13,0.015152306,-102343247.2,-23184619492,-0.006049809,-0.00380017,17948335796,7.29E+12,130064.5,46472440,46765438251,0.007665281,-0.013114631,51271397.83,23186943680,8.30E+12,0.000999297,1.45E-07,2.26E-10,1.15E-12,1.81E-23,1.94E-16,-4.09E-24
146,Acer,4,1.358208955,0.023153144,2.965061321,0.440460711,1336594001,-68189095308,18161395339,0.079201072,6.99E+12,65533238448,3093724839,0.183321429,1.15E+13,0.010773978,-171723635.9,5125333767,-0.010175637,0.000842629,18063260244,7.37E+12,129907.5,46614583.5,-20372094838,-0.00334927,-0.011210613,51091514.17,23187582545,8.25E+12,0.001027734,1.72E-07,1.15E-10,3.72E-13,-1.00E-24,1.30E-16,-2.23E-24
38,Acer,5,1.382892057,0.016940635,1.948196369,0.687915142,1615660496,-10316181944,18470460655,0.056868527,6.18E+12,-36114274012,3772586604,0.132788692,1.20E+13,-0.003096216,116761935.1,-16121218471,0.004109823,-0.001382134,16966795429,6.09E+12,168554,50867427.67,31020579147,0.002659514,-0.000884446,60816704.83,25716127468,7.81E+12,0.000743547,8.94E-08,6.87E-12,1.04E-12,-2.69E-24,-2.71E-16,6.40E-25
322,Acer,8,1.30653951,0.01429655,1.934530484,0.645164211,7599253174,-2.27969E+11,77689344156,0.062333919,3.86E+13,-3609838711,15773472685,0.129384078,6.65E+13,-5.01E-05,-363554712,-4714888991,-0.002982108,-6.55E-05,78245541942,4.18E+13,349159,157056638,1.01763E+11,0.001412636,-0.003164586,173522574.2,1.02009E+11,4.55E+13,0.000751381,6.93E-08,7.38E-13,7.19E-13,-6.58E-26,-1.18E-16,-5.20E-25
